,Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
225,310,310,/THQ_ctcvcp_4f_Hincl_13TeV_madgraph_pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,27.73687,Run 2 pre-legacy MC
244,334,334,/UpsilonNSToMuMu_TuneCP5_13TeV-pythia8-evtgen/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,26.60404,Run 2 pre-legacy MC
246,336,336,/DY1JetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISpring18DRPremix-100X_upgrade2018_realistic_v10-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,26.43606,Run 2 pre-legacy MC
253,347,347,/QCD_Pt_170to300_TuneCP5_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3_ext1-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,25.80945,Run 2 pre-legacy MC
257,352,352,/SMS-TChiWZ_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18FSPremix-102X_upgrade2018_realistic_v15-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,25.4751,Run 2 pre-legacy MC
260,355,355,/JpsiToMuMu_JpsiPt8_TuneCP5_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,25.37375,Run 2 pre-legacy MC
269,364,364,/DiPhotonJetsBox_MGG-80toInf_13TeV-Sherpa/RunIIFall17GS-93X_mc2017_realistic_v3-v3/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,24.77778,Run 2 pre-legacy MC
274,371,371,/TTToSemiLeptonic_TuneCP5up_13TeV-powheg-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,24.47935,Run 2 pre-legacy MC
275,372,372,/ZeroBias/Run2017F-09May2018-v1/AOD,T0_CH_CERN_Tape,AOD,24.42346,Run 2 pre-legacy data
276,374,374,/Charmonium/Run2017F-09May2018-v1/AOD,T0_CH_CERN_Tape,AOD,24.33867,Run 2 pre-legacy data
285,384,384,/W4JetsToLNu_NuPt-200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,23.9848,Run 2 pre-legacy MC
294,394,394,/QCD_Pt_120to170_TuneCP5_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,23.71827,Run 2 pre-legacy MC
295,395,395,/TTToHadronic_TuneCP5up_13TeV-powheg-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,23.60021,Run 2 pre-legacy MC
296,396,396,/QCD_Pt-15to7000_TuneCP5_Flat_13TeV_pythia8/RunIIAutumn18DR-NoPU_102X_upgrade2018_realistic_v15-v1/GEN-SIM-RAW,T0_CH_CERN_Tape,GEN-SIM-RAW,23.57411,Run 2 pre-legacy MC
299,400,400,/QCD_Pt_1000to1400_TuneCP5_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3_ext1-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,23.46899,Run 2 pre-legacy MC
301,402,402,/SingleNeutrino/RunIISpring18DRPremix-NZS_100X_upgrade2018_realistic_v10-v2/GEN-SIM-RECO,T0_CH_CERN_Tape,GEN-SIM-RECO,23.33549,Run 2 pre-legacy MC
304,406,406,/UpsilonMuMu_UpsilonPt6_TuneCP5_13TeV-pythia8-evtgen/RunIISpring18DRPremix-TkAlUpsilonMuMu_100X_upgrade2018_realistic_v10-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,23.29038,Run 2 pre-legacy MC
305,407,407,/ZeroBias/Run2018A-17Sep2018-v1/AOD,T0_CH_CERN_Tape,AOD,23.17284,Run 2 pre-legacy data
308,410,410,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15DR76Premix-premixPU50_deterministic_76X_mcRun2_asymptotic_v12-v3/AODSIM,T0_CH_CERN_Tape,AODSIM,22.84126,Run 2 pre-legacy MC
310,414,414,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15DR76Premix-premixPU50_nondeterministic_76X_mcRun2_asymptotic_v12-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,22.74432,Run 2 pre-legacy MC
317,421,421,/SUSYGluGluToBBHToBB_M-500_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,21.70329,Run 2 pre-legacy MC
328,439,439,/Trijet_NNPDF31nnlo_bornkt100GeV_TuneCP5_13TeV_powheg-pythia8/RunIIFall17DRStdmix-94X_mc2017_realistic_v10-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,20.56903,Run 2 pre-legacy MC
337,450,450,/SMS-TChipmWW_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIAutumn18FSPremix-102X_upgrade2018_realistic_v15-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,20.14393,Run 2 pre-legacy MC
339,452,452,/Tau/Run2018A-17Sep2018-v1/AOD,T0_CH_CERN_Tape,AOD,20.0473,Run 2 pre-legacy data
347,463,463,/QCD_Pt_470to600_TuneCP5_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,19.48369,Run 2 pre-legacy MC
348,464,464,/TTToHadronic_mtop175p5_TuneCP5_13TeV-powheg-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,19.41302,Run 2 pre-legacy MC
351,471,471,/SUSYGluGluToBBHToBB_M-250_TuneCP5_13TeV-amcatnlo-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,19.19549,Run 2 pre-legacy MC
352,473,473,/QCD_Pt-15to7000_TuneCP5_Flat2018_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,19.15296,Run 2 pre-legacy MC
356,478,478,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISpring18DRPremix-TkAlZMuMu_100X_upgrade2018_realistic_v10-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,19.00037,Run 2 pre-legacy MC
362,485,485,/DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIIFall15DR76-PU25nsPoisson50_76X_mcRun2_asymptotic_v12_ext1-v1/AODSIM,T0_CH_CERN_Tape,AODSIM,18.80038,Run 2 pre-legacy MC
364,487,487,/DYJetsToLL_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISpring18DRPremix-100X_upgrade2018_realistic_v10-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,18.66463,Run 2 pre-legacy MC
370,494,494,/LowEGJet/Run2017H-17Nov2017-v2/AOD,T0_CH_CERN_Tape,AOD,18.37347,Run 2 pre-legacy data
372,497,497,/QCD_HT1000to1500_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,18.22389,Run 2 pre-legacy MC
378,506,506,/TTToSemiLeptonic_TuneCP5down_13TeV-powheg-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,17.72973,Run 2 pre-legacy MC
379,507,507,/QCD_Pt-15to7000_TuneCP5_Flat_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11_ext1-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,17.65819,Run 2 pre-legacy MC
380,508,508,/QCD_Pt-15to7000_TuneCP5_Flat_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11_ext2-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,17.6539,Run 2 pre-legacy MC
403,532,532,/DoubleEG/Run2017C-17Nov2017-v1/AOD,T0_CH_CERN_Tape,AOD,17.20926,Run 2 pre-legacy data
420,558,558,/ttbb_4FS_13TeV_NNPDF30_sherpa-OpenLoops/RunIIFall17GS-n1_93X_mc2017_realistic_v3-v2/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,16.66684,Run 2 pre-legacy MC
422,560,560,/WJetsToQQ_HT-800toInf_qc19_3j_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,16.52434,Run 2 pre-legacy MC
423,561,561,/QCD_Pt-15to7000_TuneCP5_Flat2017_13TeV_pythia8/RunIIFall17DRStdmix-NoPU_94X_mc2017_realistic_v10-v2/AODSIM,T0_CH_CERN_Tape,AODSIM,16.52205,Run 2 pre-legacy MC
434,576,576,/WJetsToQQ_HT600to800_qc19_3j_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall18wmLHEGS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T0_CH_CERN_Tape,GEN-SIM,15.73682,Run 2 pre-legacy MC
