,Unnamed: 0.1,Unnamed: 0,dataset,rse_id,DTier,size_on_tape_[TB],category
28930,41363,41363,/ADDGravToLL_LambdaT-12000_M-300To800_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3_ext1-v3/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.07287,Run 2 pre-legacy MC
28935,41370,41370,/LQLQToTopMu_M-500_TuneCP5_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.07252,Run 2 pre-legacy MC
28937,41373,41373,/GluGluSpin0ToGammaGamma_W_5p6_M_4000_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.07233,Run 2 pre-legacy MC
28963,41407,41407,/RSGravitonToGammaGamma_kMpl02_M_2500_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.07065,Run 2 pre-legacy MC
28983,41433,41433,/ttPhiS_M-50_2e_13TeV-madgraph/RunIISummer16DR80-80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.06933,Run 2 pre-legacy MC
28988,41439,41439,/RSGravitonToGammaGamma_kMpl02_M_3000_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06896,Run 2 pre-legacy MC
28993,41446,41446,/gluinoGMSB_M2200_ctau1p0_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06864,Run 2 pre-legacy MC
28995,41448,41448,/RSGravitonToGammaGamma_kMpl001_M_2250_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06831,Run 2 pre-legacy MC
28998,41453,41453,/gluinoGMSB_M2000_ctau1p0_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06764,Run 2 pre-legacy MC
29004,41459,41459,/GluGluToHHTo2B2Tau_node_4_13TeV-madgraph/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.06755,Run 2 pre-legacy MC
29014,41471,41471,/RSGravitonToGammaGamma_kMpl01_M_3500_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06709,Run 2 pre-legacy MC
29017,41475,41475,/gluinoGMSB_M1800_ctau1p0_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06674,Run 2 pre-legacy MC
29022,41482,41482,/RSGravitonToGammaGamma_kMpl001_M_2750_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06652,Run 2 pre-legacy MC
29023,41483,41483,/gluinoGMSB_M2600_ctau300p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3_ext1-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06643,Run 2 pre-legacy MC
29026,41486,41486,/GluGluToRadionToHHTo4B_M-260_narrow_13TeV-madgraph/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.0663,Run 2 pre-legacy MC
29035,41496,41496,/gluinoGMSB_M2200_ctau30p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06584,Run 2 pre-legacy MC
29037,41501,41501,/gluinoGMSB_M2200_ctau100p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.0656,Run 2 pre-legacy MC
29041,41507,41507,/GluGluHToTauTau_M125_13TeV_powheg_pythia8/RunIIFall15DR76-25nsFlat10to25TSG_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.06539,Run 2 pre-legacy MC
29042,41508,41508,/ADDGravToGG_NegInt-0_LambdaT-5000_M-2000To3000_TuneCP2_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06537,Run 2 pre-legacy MC
29049,41515,41515,/gluinoGMSB_M2300_ctau300p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06506,Run 2 pre-legacy MC
29054,41521,41521,/gluinoGMSB_M3000_ctau1000p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06484,Run 2 pre-legacy MC
29055,41522,41522,/SMS-T1tttt_mGluino-1200_mLSP-800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15DR76-25nsFlat10to50NzshcalRaw_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.06483,Run 2 pre-legacy MC
29062,41533,41533,/gluinoGMSB_M1800_ctau10p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06411,Run 2 pre-legacy MC
29076,41549,41549,/RSGravitonToGammaGamma_kMpl01_M_4500_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06339,Run 2 pre-legacy MC
29078,41551,41551,/ADDGravToGG_NegInt-0_LambdaT-5500_M-4000To5500_TuneCP2_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06327,Run 2 pre-legacy MC
29080,41553,41553,/ZprimeToEE_M-3000_TuneCP5_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.063,Run 2 pre-legacy MC
29086,41561,41561,/ttHTobb_M125_13TeV_powheg_pythia8/RunIIFall15DR76-25nsFlat10to25TSG_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.06262,Run 2 pre-legacy MC
29100,41580,41580,/DYJetsToLL_M-50_HT-600toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15DR76-25nsFlat10to25TSG_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.06201,Run 2 pre-legacy MC
29101,41581,41581,/gluinoGMSB_M1000_ctau3p0_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06199,Run 2 pre-legacy MC
29104,41584,41584,/HSCPstop_M-400_TuneCP5_13TeV_pythia8/RunIIFall17GS-HSCP1_93X_mc2017_realistic_v3-v2/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06181,Run 2 pre-legacy MC
29106,41586,41586,/gluinoGMSB_M1400_ctau100p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06174,Run 2 pre-legacy MC
29111,41591,41591,/gluinoGMSB_M2600_ctau3000p0_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06139,Run 2 pre-legacy MC
29114,41596,41596,/RPVStopStopToJets_UDD312_M-170_TuneCUETP8M1_13TeV-madgraph-pythia8/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.0612,Run 2 pre-legacy MC
29129,41613,41613,/gluinoGMSB_M1400_ctau300p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06054,Run 2 pre-legacy MC
29141,41625,41625,/gluinoGMSB_M800_ctau3p0_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06011,Run 2 pre-legacy MC
29143,41627,41627,/ADDGravToGG_NegInt-1_LambdaT-7500_M-4000To7500_TuneCP2_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.06002,Run 2 pre-legacy MC
29152,41636,41636,/DMS_NNPDF30_Scalar_Mphi-1500_Mchi-300_gSM-1p0_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05973,Run 2 pre-legacy MC
29156,41641,41641,/DMS_NNPDF30_Pseudoscalar_Mphi-1250_Mchi-10_gSM-1p0_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.0595,Run 2 pre-legacy MC
29164,41650,41650,/ADDGravToGG_NegInt-1_LambdaT-8000_M-4000To8000_TuneCP2_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05938,Run 2 pre-legacy MC
29176,41663,41663,/gluinoGMSB_M1400_ctau1000p0_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05918,Run 2 pre-legacy MC
29177,41664,41664,/DMS_NNPDF30_Scalar_Mphi-1250_Mchi-250_gSM-1p0_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05916,Run 2 pre-legacy MC
29180,41667,41667,/X53ToTW_M-1200_RH_TuneCUETP8M1_13TeV-madgraph-pythia8/RunIISummer17DRStdmix-NZSFlatPU28to62_92X_upgrade2017_realistic_v10-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05912,Run 2 pre-legacy MC
29181,41668,41668,/HTo2LongLivedTo4mu_MH-125_MFF-20_CTau-1300mm_TuneCP5_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.0591,Run 2 pre-legacy MC
29183,41671,41671,/ADDGravToGG_NegInt-1_LambdaT-6000_M-4000To6000_TuneCP2_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05906,Run 2 pre-legacy MC
29201,41690,41690,/DMV_NNPDF30_Vector_Mphi-1750_Mchi-50_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05867,Run 2 pre-legacy MC
29206,41695,41695,/DMV_NNPDF30_Axial_Mphi-1750_Mchi-100_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05855,Run 2 pre-legacy MC
29207,41696,41696,/DMV_NNPDF30_Axial_Mphi-2000_Mchi-1_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05852,Run 2 pre-legacy MC
29208,41697,41697,/DMV_NNPDF30_Vector_Mphi-1750_Mchi-300_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05849,Run 2 pre-legacy MC
29211,41700,41700,/gluinoGMSB_M1100_ctau300p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05843,Run 2 pre-legacy MC
29213,41702,41702,/DMV_NNPDF30_Axial_Mphi-500_Mchi-500_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05838,Run 2 pre-legacy MC
29215,41704,41704,/DMV_NNPDF30_Axial_Mphi-1500_Mchi-350_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05835,Run 2 pre-legacy MC
29227,41719,41719,/ttHTobb_M125_13TeV_powheg_pythia8/RunIIFall15DR76-25nsPUfixed40NzshcalRaw_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05808,Run 2 pre-legacy MC
29233,41725,41725,/DMV_NNPDF30_Vector_Mphi-1250_Mchi-100_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v5/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05791,Run 2 pre-legacy MC
29234,41726,41726,/BdToDstarMuNu_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIFall18GS-TestForPUProfile_102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.0579,Run 2 pre-legacy MC
29236,41728,41728,/ADDGravToGG_NegInt-0_LambdaT-7000_M-4000To7000_TuneCP2_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05779,Run 2 pre-legacy MC
29238,41730,41730,/DMV_NNPDF30_Vector_Mphi-1000_Mchi-300_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v7/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05774,Run 2 pre-legacy MC
29239,41731,41731,/DMV_NNPDF30_Vector_Mphi-1500_Mchi-200_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05774,Run 2 pre-legacy MC
29257,41750,41750,/ZToEE_NNPDF30_13TeV-powheg_M_3500_4500/RunIISpring18DR-NZSPU40to70_100X_upgrade2018_realistic_v10-v2/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05749,Run 2 pre-legacy MC
29263,41756,41756,/gluinoGMSB_M2400_ctau3000p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05738,Run 2 pre-legacy MC
29265,41758,41758,/DMV_NNPDF30_Axial_Mphi-1000_Mchi-50_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05731,Run 2 pre-legacy MC
29275,41770,41770,/DMV_NNPDF30_Vector_Mphi-1250_Mchi-250_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v2/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05705,Run 2 pre-legacy MC
29281,41776,41776,/ADDGravToGG_NegInt-1_LambdaT-10000_M-4000To10000_TuneCP2_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05679,Run 2 pre-legacy MC
29283,41778,41778,/QCD_Pt-10to35_TuneCUETP8M1_13TeV-pythia8/RunIIFall15DR76-noPU_castor_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05676,Run 2 pre-legacy MC
29287,41784,41784,/UnparToGG_Spin2_du1p9_LambdaU-2000_pT70_M1000-2000_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05661,Run 2 pre-legacy MC
29293,41791,41791,/QCD_Pt-10to35_TuneCUETHS1_13TeV-herwigpp/RunIIFall15DR76-noPU_castor_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05644,Run 2 pre-legacy MC
29297,41795,41795,/UnparToGG_Spin0_du1p5_LambdaU-2500_pT70_M1000-2000_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05635,Run 2 pre-legacy MC
29299,41797,41797,/RSGravitonToGammaGamma_kMpl01_M_6000_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05633,Run 2 pre-legacy MC
29303,41801,41801,/DMV_NNPDF30_Axial_Mphi-300_Mchi-150_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05624,Run 2 pre-legacy MC
29318,41817,41817,/UnparToGG_Spin0_du1p5_LambdaU-3500_pT70_M3000_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05582,Run 2 pre-legacy MC
29332,41832,41832,/DMS_NNPDF30_Pseudoscalar_Mphi-10_Mchi-100_gSM-1p0_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05549,Run 2 pre-legacy MC
29353,41854,41854,/UnparToGG_Spin2_du1p1_LambdaU-3000_pT70_M500-1000_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05502,Run 2 pre-legacy MC
29355,41856,41856,/DMV_NNPDF30_Vector_Mphi-500_Mchi-300_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05501,Run 2 pre-legacy MC
29358,41859,41859,/UnparToGG_Spin0_du1p9_LambdaU-3500_pT70_M500-1000_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05494,Run 2 pre-legacy MC
29360,41861,41861,/ttH_HToZZ_4LFilter_M145_13TeV_powheg2_JHUgenV6_pythia8/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05492,Run 2 pre-legacy MC
29368,41869,41869,/UnparToGG_Spin2_du1p9_LambdaU-2500_pT70_M500-1000_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05482,Run 2 pre-legacy MC
29373,41874,41874,/UnparToGG_Spin2_du1p5_LambdaU-3000_pT70_M500-1000_TuneCP2_13TeV_pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05474,Run 2 pre-legacy MC
29374,41875,41875,/ChargedHiggs_HplusTB_HplusToTauNu_M-1000_13TeV_amcatnlo_pythia8/RunIISummer17DRStdmix-NZSFlatPU28to62_92X_upgrade2017_realistic_v10-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05472,Run 2 pre-legacy MC
29375,41876,41876,/gluinoGMSB_M1800_ctau3000p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05466,Run 2 pre-legacy MC
29377,41878,41878,/ADDGravToGG_NegInt-1_LambdaT-8500_M-2000To4000_TuneCP2_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05464,Run 2 pre-legacy MC
29379,41880,41880,/UnparToGG_Spin2_du1p9_LambdaU-3500_pT70_M2000-3000_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05454,Run 2 pre-legacy MC
29380,41881,41881,/UnparToGG_Spin2_du1p5_LambdaU-3000_pT70_M2000-3000_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05453,Run 2 pre-legacy MC
29396,41898,41898,/QstarToGJ_M-9000_f-0p1_TuneCP5_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05429,Run 2 pre-legacy MC
29405,41909,41909,/ADDGravToGG_NegInt-0_LambdaT-7000_M-500To1000_TuneCP2_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05402,Run 2 pre-legacy MC
29407,41911,41911,/ADDGravToGG_NegInt-0_LambdaT-13000_M-2000To4000_TuneCP2_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05398,Run 2 pre-legacy MC
29411,41915,41915,/QstarToGJ_M-8000_f-0p5_TuneCP5_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05394,Run 2 pre-legacy MC
29413,41917,41917,/ttPhiS_M-25_2mu_13TeV-madgraph/RunIISummer16DR80-80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.0539,Run 2 pre-legacy MC
29415,41919,41919,/UnparToGG_Spin2_du1p9_LambdaU-3500_pT70_M1000-2000_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05387,Run 2 pre-legacy MC
29418,41922,41922,/ADDGravToGG_NegInt-0_LambdaT-5000_M-1000To2000_TuneCP2_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05381,Run 2 pre-legacy MC
29428,41933,41933,/ADDGravToGG_NegInt-0_LambdaT-13000_M-1000To2000_TuneCP2_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05369,Run 2 pre-legacy MC
29432,41937,41937,/ADDGravToGG_NegInt-1_LambdaT-10000_M-1000To2000_TuneCP2_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05364,Run 2 pre-legacy MC
29443,41949,41949,/DMV_NNPDF30_Axial_Mphi-100_Mchi-50_gSM-0p25_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05352,Run 2 pre-legacy MC
29469,41978,41978,/Nu_E10-pythia8-gun/RunIIAutumn18DR-SNBHP_SNB_HP_102X_upgrade2018_realistic_v17-v2/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05305,Run 2 pre-legacy MC
29476,41985,41985,/gluinoGMSB_M2600_ctau10000p0_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3_ext1-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05297,Run 2 pre-legacy MC
29493,42004,42004,/DMS_NNPDF30_Scalar_Mphi-100_Mchi-50_gSM-1p0_gDM-1p0_v2_13TeV-powheg/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05265,Run 2 pre-legacy MC
29506,42017,42017,/BdToKstarMuMu_probefilter_SoftQCDnonD_TuneCP5_13Tev-pythia8-evtgen/RunIIFall18GS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05239,Run 2 pre-legacy MC
29548,42066,42066,/ADDGravToGG_NegInt-0_LambdaT-6500_M-500To1000_TuneCP2_13TeV-pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05164,Run 2 pre-legacy MC
29564,42083,42083,/WprimeToTB_TToLep_M-4000_RH_TuneCUETP8M1_13TeV-comphep-pythia8/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.0513,Run 2 pre-legacy MC
29569,42088,42088,/XXTo4J_M1500_CTau300mm_TuneCP2_13TeV_pythia8/RunIIFall17GS-93X_mc2017_realistic_v3-v1/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05112,Run 2 pre-legacy MC
29575,42094,42094,/WprimeToTB_plusSM_TToHad_M-1600_mixed_sqrt_13TeV-comphep/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05098,Run 2 pre-legacy MC
29584,42105,42105,/BstarToGJ_M-4000_f-0p1_TuneCP5_13TeV-pythia8/RunIIFall18GS-102X_upgrade2018_realistic_v11-v2/GEN-SIM,T1_DE_KIT_Tape,GEN-SIM,0.05075,Run 2 pre-legacy MC
29589,42114,42114,/MuonEG/Run2016B-23Sep2016-v2/AOD,T1_DE_KIT_Tape,AOD,0.05064,Run 2 pre-legacy data
29592,42121,42121,/GluGluHToZZTo2L2Nu_M900_13TeV_powheg2_JHUgenV6_pythia8/RunIIFall15DR76-PU25nsData2015v1_76X_mcRun2_asymptotic_v12-v1/AODSIM,T1_DE_KIT_Tape,AODSIM,0.05052,Run 2 pre-legacy MC
