,dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse.1,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,category
55,/DoubleElectron_FlatPt-1To500/Run3Summer21MiniAOD-FlatPU0to70IDEALGT_120X_mcRun3_2021_realistic_v5-v2/MINIAODSIM,T1_US_FNAL_Disk,2.35065,1/1/70,0,596,596,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 3
60,/TT_Mtt-1000toInf_TuneCP5_13TeV-powheg-pythia8/Run3Winter20DRMiniAOD-DRFlatPU30to80_110X_mcRun3_2021_realistic_v6-v1/GEN-SIM-RAW,T1_US_FNAL_Disk,51.63265,4/16/20,1587021841000,13535,13535,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 3
65,/QCD_Pt_600to800_TuneCP5_13TeV_pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,T1_US_FNAL_Disk,1.64292,10/2/21,1633171226000,695,695,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
66,/ST_t-channel_top_4f_InclusiveDecays_mtop1695_TuneCP5_13TeV-powheg-madspin-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v3/MINIAODSIM,T1_US_FNAL_Disk,1.68376,1/1/70,0,852,852,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
67,/TTTo2L2Nu_widthx1p15_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,T1_US_FNAL_Disk,2.77897,7/24/21,1627138792000,1039,1039,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
68,/TTJets_FullLeptMGDecays_8TeV-madgraph/Summer12_DR53X-PU_RD1_START53_V7N-v1/AODSIM,T3_CH_CERN_OpenData,4.16093,1/1/70,0,1320,1320,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
69,/WGToLNuG_TuneZ2star_8TeV-madgraph-tauola/Summer12_DR53X-PU_RD1_START53_V7N-v1/AODSIM,T3_CH_CERN_OpenData,1.36354,1/1/70,0,333,333,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
71,/ZeroBias16/Commissioning2021-PromptReco-v1/AOD,T1_US_FNAL_Disk,1.10627,1/1/70,0,369,369,['tier0_prod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commissioning + Cosmics
76,/ZeroBias/Run2018D-SiStripCalMinBias-12Nov2019_UL2018-v3/ALCARECO,T2_BR_SPRACE,49.46893,1/20/20,1579523921000,15810,15810,['sync_t2_br_sprace'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
78,/SingleNeutrino_E10-gun/Run3Winter21DRMiniAOD-FlatPU30to80FEVT_SNB_112X_mcRun3_2021_realistic_v16-v2/GEN-SIM-DIGI-RAW,T2_AT_Vienna,9.6917,1/1/70,0,2498,2498,['sonawane'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 3
83,/PAMinBiasUPC/HIRun2013-PromptReco-v1/RECO,T2_US_Vanderbilt,44.41619,1/1/70,0,8345,8345,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIN
88,/ParkingBPH1/Run2018A-UL2018_MiniAODv2-v1/MINIAOD,T1_US_FNAL_Disk,10.69978,1/1/70,0,3269,3269,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
89,/Charmonium/Run2018B-UL2018_MiniAODv2-v1/MINIAOD,T1_US_FNAL_Disk,1.15049,8/12/21,1628728175000,330,330,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
92,/JetHT/Run2018D-TkAlMinBias-12Nov2019_UL2018-v3/ALCARECO,T1_US_FNAL_Disk,41.70965,1/1/70,0,11912,11912,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
100,/QCD_Pt-470To600_MuEnrichedPt5_TuneCP5_13TeV-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,T1_US_FNAL_Disk,1.43058,8/17/21,1629227806000,439,439,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
101,/JPsiToMuMu_2MuPtEtaFilter_tuneD6T_8TeV-pythia6-evtgen/Summer12_DR53X-PU_RD2_START53_V19F-v3/AODSIM,T3_CH_CERN_OpenData,2.78749,1/1/70,0,1132,1132,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
102,/ZeroBias0/Commissioning2022-v1/RAW,T1_US_FNAL_Disk,1.20563,1/1/70,0,338,338,['tier0_prod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commissioning + Cosmics
104,/TTTo2L2Nu_widthx1p15_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,T1_US_FNAL_Disk,2.06585,1/1/70,0,631,631,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
112,/LowEGJet/Run2017G-09Aug2019_UL2017-v1/AOD,T2_ES_CIEMAT,36.60664,8/26/21,1629963201000,11562,11562,['sync_t2_es_ciemat'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
113,/LowEGJet/Run2017G-09Aug2019_UL2017-v1/AOD,T2_DE_RWTH,36.60664,8/26/21,1629963201000,11562,11562,['sync_t2_de_rwth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
123,/LowEGJet/Run2017G-09Aug2019_UL2017-v1/AOD,T1_RU_JINR_Disk,36.60664,8/26/21,1629963201000,11562,11562,['sync_t1_ru_jinr_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
124,/TTToHadronic_mtop173p5_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,T1_US_FNAL_Disk,1.92524,7/10/21,1625881054000,792,792,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
125,/WJetsToLNu_Pt-100To250_MatchEWPDG20_TuneCP5_13TeV-amcatnloFXFX-pythia8/RunIISummer20UL16MiniAOD-106X_mcRun2_asymptotic_v13-v2/MINIAODSIM,T1_US_FNAL_Disk,6.25918,9/18/21,1631944152000,1907,1907,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
126,/QCD_HT200to300_TuneCP5_PSWeights_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,T2_US_UCSD,1.00695,1/1/70,0,293,293,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
127,/TTToHadronic_mtop171p5_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,T2_US_Florida,1.23442,8/3/21,1628010708000,404,404,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
128,/LowEGJet/Run2017G-09Aug2019_UL2017-v1/AOD,T2_BE_UCL,36.60664,8/26/21,1629963201000,11562,11562,['sync_t2_be_ucl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
131,/LowEGJet/Run2017G-09Aug2019_UL2017-v1/AOD,T1_US_FNAL_Disk,36.60664,8/26/21,1629963201000,11562,11562,['sync_t1_us_fnal_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
140,/ParkingBPH6/Run2018A-UL2018_MiniAODv2-v1/MINIAOD,T1_US_FNAL_Disk,4.92505,1/1/70,0,1469,1469,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
141,/ST_tW_antitop_5f_inclusiveDecays_TuneCP5_13TeV-powheg-pythia8/RunIIAutumn18DRPremix-102X_upgrade2018_realistic_v15_ext1-v1/AODSIM,T2_RU_JINR,3.11013,10/21/20,1603302346000,444,444,['t2_ru_jinr_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
146,/TTTo2L2Nu_widthx1p3_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-106X_upgrade2018_realistic_v16_L1v1-v1/MINIAODSIM,T2_US_Purdue,1.01805,7/23/21,1627039274000,382,382,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
149,/TToLeptons_s-channel_8TeV-powheg-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,T2_UK_London_IC,1.42013,1/1/70,0,390,390,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
150,/VRRandom6/Commissioning2021-v1/RAW,T1_US_FNAL_Disk,1.61095,1/1/70,0,502,502,['tier0_prod'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commissioning + Cosmics
156,/SingleMuon/Run2016G-UL2016_MiniAODv2-v1/MINIAOD,T1_US_FNAL_Disk,1.14338,1/1/70,0,299,299,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
165,/DYJetsToLL_M-50_TuneZ2Star_8TeV-madgraph-tarball-tauola-tauPolarOff/Summer12_DR53X-PU_S10_START53_V19-v1/AODSIM,T3_CH_CERN_OpenData,9.15303,1/1/70,0,2467,2467,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
166,/DYJetsToLL_M10-50_PtZ70-100_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V19-v1/AODSIM,T3_CH_CERN_OpenData,1.80414,1/1/70,0,485,485,['t3_ch_cern_opendata_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
167,/WZ_TuneZ2star_8TeV_pythia6_tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,T2_FR_GRIF_IRFU,2.53426,10/5/20,1601931522000,668,668,['t2_fr_grif_irfu_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
185,/TTToSemiLeptonic_hdampUP_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v1/MINIAODSIM,T1_US_FNAL_Disk,1.33394,7/31/21,1627765536000,387,387,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
186,/QCD_Pt_470to600_TuneCP5_13TeV_pythia8/RunIISummer20UL18MiniAOD-106X_upgrade2018_realistic_v11_L1v1-v2/MINIAODSIM,T1_US_FNAL_Disk,1.04381,8/25/21,1629904066000,316,316,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
189,/Tau/Run2016D-LogError-21Feb2020_UL2016_HIPM-v1/RAW-RECO,T1_IT_CNAF_Disk,30.83784,1/1/70,0,7853,7853,['sync_t1_it_cnaf_disk'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
190,/Tau/Run2016D-LogError-21Feb2020_UL2016_HIPM-v1/RAW-RECO,T2_UK_London_IC,30.8036,1/1/70,0,7832,7832,['sync_t2_uk_london_ic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy data
198,/EGamma/Run2018D-EXOMONOPOLE-12Nov2019_UL2018-v4/USER,T1_ES_PIC_Disk,2.1662,9/20/21,1632171270000,590,590,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skims
199,/TT_Mtt-1000toInf_TuneCP5_14TeV-powheg-pythia8/Run3Winter21DRMiniAOD-112X_mcRun3_2021_realistic_v16-v2/MINIAODSIM,T1_US_FNAL_Disk,1.53033,1/1/70,0,514,514,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 3
207,/DYJetsToMuMu_M-50_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17MiniAODv2-PUForMUOVal_106X_mc2017_realistic_v9-v2/MINIAODSIM,T1_US_FNAL_Disk,1.15405,9/24/21,1632498312000,499,499,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
208,/ST_t-channel_antitop_4f_InclusiveDecays_wtop1p45_TuneCP5_fixWidth_13TeV-powheg-madspin-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v2/MINIAODSIM,T1_US_FNAL_Disk,1.15152,1/1/70,0,313,313,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
209,/WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL17MiniAODv2-106X_mc2017_realistic_v9-v1/MINIAODSIM,T1_US_FNAL_Disk,2.31185,8/10/21,1628562653000,546,546,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
210,/TTToHadronic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL18MiniAODv2-FSUL18_106X_upgrade2018_realistic_v16_L1v1-v2/MINIAODSIM,T2_US_Purdue,1.13809,1/1/70,0,328,328,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
212,/WplusJetsToMuNu_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,T2_US_Wisconsin,1.10429,7/31/21,1627749426000,274,274,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
222,/EGamma/Run2018D-EXOMONOPOLE-12Nov2019_UL2018-v4/USER,T2_BE_IIHE,3.17139,9/20/21,1632174422000,879,879,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skims
223,/DoubleElectron_Pt-1To300-gun/Run3Summer21MiniAOD-FlatPU0to70FEVT_120X_mcRun3_2021_realistic_v5-v2/MINIAODSIM,T2_US_Wisconsin,4.33345,1/1/70,0,1276,1276,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 3
230,/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIAutumn18DRPremix-102X_upgrade2018_realistic_v15-v2/AODSIM,T3_US_FNALLPC,24.92671,11/28/20,1606581651000,3905,3905,['sync_t3_us_fnallpc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
231,/TT_Mtt-700to1000_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL17MiniAOD-106X_mc2017_realistic_v6-v3/MINIAODSIM,T1_US_FNAL_Disk,2.42749,9/26/21,1632618926000,793,793,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 legacy MC
