,dataset,RSE Name,dataset_size_in_rse_tb,last_access_time_of_dataset_in_rse,last_access_time_of_dataset_in_rse.1,#_files_of_dataset_in_rse,#_accessed_files_of_dataset_in_rse,unique_accounts,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,category
36,/SMS-T2bt-LLChipm_ctau-10_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15_ext1-v1/MINIAODSIM,T1_US_FNAL_Disk,2.1486,5/22/20,1590181824000,916,916,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
37,/SMS-T7WgStealth_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15-v1/MINIAODSIM,T2_US_Wisconsin,4.34323,5/22/20,1590180522000,1271,1271,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
38,/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v3/MINIAODSIM,T2_DE_DESY,1.18294,8/7/21,1628323215000,490,490,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
39,/TTToSemiLep_hdampUP_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,T1_US_FNAL_Disk,1.07858,1/1/70,0,460,460,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
40,/StreamExpress/Run2018D-SiStripCalMinBias-Express-v1/ALCARECO,T2_CH_CERN,60.05601,7/8/21,1625736411000,123815,123815,['sync_t2_ch_cern'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALCA
44,/SingleElectron/Run2012D-22Jan2013-v1/AOD,T2_FR_GRIF_IRFU,31.66968,9/23/20,1600890207000,8010,8010,['t2_fr_grif_irfu_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DPOA
45,/JetHT/Run2016B-03Feb2017_ver2-v2/MINIAOD,T2_UK_London_IC,4.23528,8/14/21,1628899734000,1101,1101,['t2_uk_london_ic_local'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
46,/ZeroBias/Run2016C-23Sep2016-v1/AOD,T1_IT_CNAF_Disk,1.39697,6/17/20,1592396887000,390,390,['t1_it_cnaf_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
47,/SingleElectron/Run2016F-23Sep2016-v1/MINIAOD,T2_IT_Legnaro,1.83041,1/1/70,0,829,829,['t2_it_legnaro_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
48,/DoubleMuon/Run2016G-23Sep2016-v1/MINIAOD,T2_US_Purdue,1.18063,1/1/70,0,544,544,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
49,/PADTrack1/PARun2016C-PromptReco-v1/AOD,T2_US_Vanderbilt,57.75141,1/1/70,0,20505,20505,['sync_t2_us_vanderbilt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIN
50,/DoubleMuon/Run2016H-03Feb2017_ver2-v1/MINIAOD,T1_US_FNAL_Disk,1.41558,12/11/20,1607648481000,374,374,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
51,/SingleMuon/Run2017C-31Mar2018-v1/MINIAOD,T2_DE_DESY,4.57891,1/19/38,2147483647000,1248,1248,['t2_de_desy_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
52,/ParkingBPH5/Run2018D-PromptReco-v2/MINIAOD,T2_US_Nebraska,3.5014,1/1/70,0,1042,1042,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy data
54,/HIMinimumBias9/HIRun2018A-04Apr2019-v1/AOD,T2_US_Vanderbilt,103.46607,10/6/21,1633503356000,34727,34727,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HIN
56,/PMSSM_set_2_LL_2_TuneCP2_13TeV-pythia8/RunIIAutumn18MiniAOD-PUFall18Fast_GridpackScan_102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T1_US_FNAL_Disk,8.47935,1/1/70,0,2391,2391,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
57,/SUSYGluGluToBBHToBB_M-160_TuneCP5_13TeV-amcatnlo-pythia8/RunIIAutumn18MiniAOD-102X_upgrade2018_realistic_v15-v1/MINIAODSIM,T2_US_MIT,1.1103,9/1/20,1598956310000,478,478,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
58,/BsToPsiPhi_BMuonFilter_SoftQCDnonD_TuneCP5_13TeV-pythia8-evtgen/RunIIFall17MiniAODv2-PU2017_12Apr2018_94X_mc2017_realistic_v14-v2/MINIAODSIM,T2_US_Wisconsin,1.60706,8/11/21,1628707201000,872,872,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
59,/SMS-T1qqqq_TuneCP2_13TeV-madgraphMLM-pythia8/RunIIFall17MiniAODv2-PUFall17Fast_94X_mc2017_realistic_v15-v1/MINIAODSIM,T2_US_Wisconsin,1.84447,1/1/70,0,757,757,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
61,/W1JetsToLNu_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16DR80Premix-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/AODSIM,T2_BE_IIHE,12.83932,12/25/16,1482660264000,3785,3785,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Run 2 pre-legacy MC
62,/DYJetsToLL_Pt-100To250_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext5-v1/MINIAODSIM,T2_ES_CIEMAT,2.83032,2/19/20,1582141648000,1056,1056,['t2_es_ciemat_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
63,/TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6_ext1-v1/MINIAODSIM,T2_BE_IIHE,2.13276,9/25/20,1601061340000,559,559,['t2_be_iihe_local_users'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
64,/TT_hdampDOWN_TuneCUETP8M2T4_13TeV-powheg-pythia8/RunIISummer16MiniAODv2-PUMoriond17_80X_mcRun2_asymptotic_2016_TrancheIV_v6-v1/MINIAODSIM,T2_US_Purdue,1.28666,5/29/20,1590735909000,555,555,['transfer_ops'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miscellaneous
